"idDBLP","idACM"
"http://w3/conf/sigmod/SlivinskasJS01*****375678
"http://w3/conf/sigmod/ChaudhuriDN01",375694
"http://w3/conf/sigmod/RinfretOO01",375669
"http://w3/conf/sigmod/BreunigKKS01",375672
"http://w3/conf/sigmod/JagadishJOT01",375687
"http://w3/conf/sigmod/NazeriBO01",375743
"http://w3/conf/sigmod/ChenZCKR01",375789
"http://w3/conf/sigmod/BohmBKK01",375714
"http://w3/conf/sigmod/DattaDRTV01",375780
"http://w3/conf/sigmod/HernandezMHYHT01",375767
"http://w3/conf/sigmod/LeeWMS01",375709
"http://w3/conf/sigmod/HanPLJ01",375786
"http://w3/conf/sigmod/KiesslingHFE01",375754
"http://w3/conf/sigmod/YanMHF01",375729
"http://w3/conf/sigmod/FernandezMS01",375674
"http://w3/conf/sigmod/CandanLLHA01",375736
"http://w3/conf/sigmod/BorkarDS01",375682
"http://w3/conf/sigmod/SchusterW01",375728
"http://w3/conf/sigmod/HanPDW01",375664
"http://w3/conf/sigmod/Maguire01",375742
"http://w3/conf/sigmod/GodfreyGXZ01",375749
"http://w3/conf/sigmod/FabretJLPRS01",375677
"http://w3/conf/sigmod/OlstonWL01",375710
"http://w3/conf/sigmod/LahiriG01",375751
"http://w3/conf/sigmod/DeolaseeKPRS01",375752
"http://w3/conf/sigmod/Meseck01",375745
"http://w3/conf/sigmod/ShahC01",375773
"http://w3/conf/sigmod/StonebrakerH01",375739
"http://w3/conf/sigmod/AfratiLU01",375705
"http://w3/conf/sigmod/ButtlerLPP01",375762
"http://w3/conf/sigmod/LangS01",375716
"http://w3/conf/sigmod/Smith01",375814
"http://w3/conf/sigmod/TatarinovIHW01",375720
"http://w3/conf/sigmod/ShouCTRH01",375755
"http://w3/conf/sigmod/GionisGK01",375689
"http://w3/conf/sigmod/MistryRSR01",375703
"http://w3/conf/sigmod/Larson01",375792
"http://w3/conf/sigmod/GoldsteinL01",375706
"http://w3/conf/sigmod/Bussler01",375810
"http://w3/conf/sigmod/BabuGR01",375693
"http://w3/conf/sigmod/LamCKNH01",375779
"http://w3/conf/sigmod/GreenwaldK01",375670
"http://w3/conf/sigmod/DraperHW01",375744
"http://w3/conf/sigmod/AgichteinGV01",375774
"http://w3/conf/sigmod/KimCK01",375679
"http://w3/conf/sigmod/ClaypoolRZSK01",375765
"http://w3/conf/sigmod/BertinoCF01",375764
"http://w3/conf/sigmod/Mohan01",375798
"http://w3/conf/sigmod/KalnisP01",375712
"http://w3/conf/sigmod/YuMWL01",375684
"http://w3/conf/sigmod/ChenGK01",375692
"http://w3/conf/sigmod/Galindo-LegariaJ01",375748
"http://w3/conf/sigmod/DeshpandeGR01",375685
"http://w3/conf/sigmod/LazaridisM01",375718
"http://w3/conf/sigmod/BrunoCG01",375686
"http://w3/conf/sigmod/Sahuguet01",375757
"http://w3/conf/sigmod/AgrawalCN01",375769
"http://w3/conf/sigmod/ChenGM01",375688
