"idDBLP","idACM"
"conf/sigmod/SlivinskasJS01","http://w3/375678"
"conf/sigmod/ChaudhuriDN01","http://w3/375694"
"conf/sigmod/RinfretOO01","http://w3/375669"
"conf/sigmod/BreunigKKS01","http://w3/375672"
"conf/sigmod/JagadishJOT01","http://w3/375687"
"conf/sigmod/NazeriBO01","http://w3/375743"
"conf/sigmod/ChenZCKR01","http://w3/375789"
"conf/sigmod/BohmBKK01","http://w3/375714"
"conf/sigmod/DattaDRTV01","http://w3/375780"
"conf/sigmod/HernandezMHYHT01","http://w3/375767"
"conf/sigmod/LeeWMS01","http://w3/375709"
"conf/sigmod/HanPLJ01","http://w3/375786"
"conf/sigmod/KiesslingHFE01","http://w3/375754"
"conf/sigmod/YanMHF01","http://w3/375729"
"conf/sigmod/FernandezMS01","http://w3/375674"
"conf/sigmod/CandanLLHA01","http://w3/375736"
"conf/sigmod/BorkarDS01","http://w3/375682"
"conf/sigmod/SchusterW01","http://w3/375728"
"conf/sigmod/HanPDW01","http://w3/375664"
"conf/sigmod/Maguire01","http://w3/375742"
"conf/sigmod/GodfreyGXZ01","http://w3/375749"
"conf/sigmod/FabretJLPRS01","http://w3/375677"
"conf/sigmod/OlstonWL01","http://w3/375710"
"conf/sigmod/LahiriG01","http://w3/375751"
"conf/sigmod/DeolaseeKPRS01","http://w3/375752"
"conf/sigmod/Meseck01","http://w3/375745"
"conf/sigmod/ShahC01","http://w3/375773"
"conf/sigmod/StonebrakerH01","http://w3/375739"
"conf/sigmod/AfratiLU01","http://w3/375705"
"conf/sigmod/ButtlerLPP01","http://w3/375762"
"conf/sigmod/LangS01","http://w3/375716"
"conf/sigmod/Smith01","http://w3/375814"
"conf/sigmod/TatarinovIHW01","http://w3/375720"
"conf/sigmod/ShouCTRH01","http://w3/375755"
"conf/sigmod/GionisGK01","http://w3/375689"
"conf/sigmod/MistryRSR01","http://w3/375703"
"conf/sigmod/Larson01","http://w3/375792"
"conf/sigmod/GoldsteinL01","http://w3/375706"
"conf/sigmod/Bussler01","http://w3/375810"
"conf/sigmod/BabuGR01","http://w3/375693"
"conf/sigmod/LamCKNH01","http://w3/375779"
"conf/sigmod/GreenwaldK01","http://w3/375670"
"conf/sigmod/DraperHW01","http://w3/375744"
"conf/sigmod/AgichteinGV01","http://w3/375774"
"conf/sigmod/KimCK01","http://w3/375679"
"conf/sigmod/ClaypoolRZSK01","http://w3/375765"
"conf/sigmod/BertinoCF01","http://w3/375764"
"conf/sigmod/Mohan01","http://w3/375798"
"conf/sigmod/KalnisP01","http://w3/375712"
"conf/sigmod/YuMWL01","http://w3/375684"
"conf/sigmod/ChenGK01","http://w3/375692"
"conf/sigmod/Galindo-LegariaJ01","http://w3/375748"
"conf/sigmod/DeshpandeGR01","http://w3/375685"
"conf/sigmod/LazaridisM01","http://w3/375718"
"conf/sigmod/BrunoCG01","http://w3/375686"
"conf/sigmod/Sahuguet01","http://w3/375757"
"conf/sigmod/AgrawalCN01","http://w3/375769"
"conf/sigmod/ChenGM01","http://w3/375688"
"conf/sigmod/ZhangNDLL01","http://w3/375722"
"conf/sigmod/CarinoKKB01","http://w3/375733"
"conf/sigmod/AggarwalY01","http://w3/375668"
"conf/sigmod/WynblattN01","http://w3/375737"
"conf/sigmod/BohannonMR01","http://w3/375681"
"conf/sigmod/GunopulosD01","http://w3/375808"
"conf/sigmod/KeoghCMP01","http://w3/375680"
"conf/sigmod/DoanDH01","http://w3/375731"
"conf/sigmod/NgWY01","http://w3/375666"
"conf/sigmod/IpeirotisGS01","http://w3/375671"
"conf/sigmod/JoshiA01","http://w3/375673"
"conf/sigmod/HristidisKP01","http://w3/375690"
"conf/sigmod/GetoorTK01","http://w3/375727"
"conf/sigmod/WuAA01","http://w3/375724"
"conf/sigmod/GehrkeKS01","http://w3/375665"
"conf/sigmod/AdiBEY01","http://w3/375759"
"conf/sigmod/Amer-YahiaCLS01","http://w3/375730"
"conf/sigmod/WhitneyS01","http://w3/375783"
"conf/sigmod/KriegelMPS01","http://w3/375777"
"conf/sigmod/BabyCY01","http://w3/375761"
"conf/sigmod/CasatiS01","http://w3/375812"
"conf/sigmod/Rosenthal01","http://w3/375796"
"conf/sigmod/NguyenACP01","http://w3/375723"
"conf/sigmod/CatarciS01","http://w3/375771"
"conf/sigmod/ChangC01","http://w3/375776"
"conf/sigmod/Lomet00","http://w3/335378"
"conf/sigmod/LabioWGG00","http://w3/335379"
"conf/sigmod/AggarwalY00","http://w3/335383"
"conf/sigmod/PalmerF00","http://w3/335384"
"conf/sigmod/ZaharioudakisCLPU00","http://w3/335390"
"conf/sigmod/CorralMTV00","http://w3/335414"
"conf/sigmod/RoySSB00","http://w3/335419"
"conf/sigmod/HellersteinA00","http://w3/335420"
"conf/sigmod/PopaDST00","http://w3/335421"
"conf/sigmod/AgrawalW00","http://w3/335423"
"conf/sigmod/ForlizziGNS00","http://w3/335426"
"conf/sigmod/MoonSL00","http://w3/335428"
"conf/sigmod/ChoSG00","http://w3/335429"
"conf/sigmod/OhHP00","http://w3/335436"
"conf/sigmod/RamaswamyRS00","http://w3/335437"
"conf/sigmod/SzalayGKT00","http://w3/335439"
"conf/sigmod/GunopulosKTD00","http://w3/335448"
"conf/sigmod/AcharyaGP00","http://w3/335450"
"conf/sigmod/WaasG00","http://w3/335451"
